제목,저자,출판사,출판일,가격
百의 그림자,황정은,창비,2022년 02월,"13,500"
뉴서울파크 젤리장수 대학살,조예은,안전가옥,2019년 06월,"13,500"
고양이달 세트 (일러스트 특별판),박영주,아띠봄,2021년 03월,"89,100"
날짜 없음,장은진,민음사,2016년 11월,"12,600"
녹슨달,하지은,달다,2023년 02월,"16,200"
너의 바다가 되어,고상만,크루,2021년 10월,"13,320"
고구려 1부 : 땅을 다지다 세트,김진명,이타북스,2021년 06월,"98,100"
변덕 마녀의 수상한 죽 가게,나우주,김영사,2023년 10월,"10,800"
작별 곁에서,신경숙,창비,2023년 05월,"13,500"
바늘과 가죽의 시,구병모,현대문학,2021년 04월,"11,700"
소설 보다 : 겨울 2022,김채원,문학과지성사,2022년 12월,"3,150"
운수 좋은 날,현진건,사피엔스21,2012년 02월,"6,300"
디디의 우산,황정은,창비,2019년 01월,"12,600"
룬의 아이들 - 블러디드 1,전민희,엘릭시르,2018년 11월,"13,050"
만조를 기다리며,조예은,위즈덤하우스,2023년 05월,"11,700"
그해 겨울은 따뜻했네 2,박완서,세계사,2012년 01월,"13,500"
눈으로 만든 사람,최은미,문학동네,2021년 06월,"13,320"
혼불 5,최명희,매안출판사,2009년 07월,"10,450"
무진기행,김승옥,문학동네,2004년 10월,"11,700"
당신 옆을 스쳐간 그 소녀의 이름은,최진영,한겨레출판,2022년 01월,"12,420"
설이,심윤경,한겨레출판,2019년 01월,"11,700"
"거기, 내가 가면 안 돼요?",이금이,사계절,2017년 07월,"13,500"
인생은 아름다워,홍유진,북오션,2023년 11월,"15,300"
퇴마록 국내편 2,이우혁,엘릭시르,2011년 09월,"15,300"
애가,박경리,다산책방,2023년 10월,"16,200"
